Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS
Jeff Teague,PG,29,MIN,70,2311,354,794,0.446,84,228,0.368,270,566,0.477,0.499,202,239,0.845,994
Marquis Teague,PG,24,MEM,3,74,4,16,0.25,1,4,0.25,3,12,0.25,0.281,2,5,0.4,11
Mirza Teletović,PF,32,MIL,10,159,25,57,0.439,21,45,0.467,4,12,0.333,0.623,0,0,,71
Garrett Temple,SG,31,SAC,65,1615,199,476,0.418,89,227,0.392,110,249,0.442,0.512,60,78,0.769,547
Miloš Teodosić,PG,30,LAC,45,1134,151,360,0.419,88,232,0.379,63,128,0.492,0.542,39,46,0.848,429
Jason Terry,SG,40,MIL,51,814,59,154,0.383,40,115,0.348,19,39,0.487,0.513,8,9,0.889,166
Daniel Theis,C,25,BOS,63,936,126,233,0.541,18,58,0.31,108,175,0.617,0.579,61,81,0.753,331
Isaiah Thomas,PG,28,TOT,32,862,157,421,0.373,55,188,0.293,102,233,0.438,0.438,117,131,0.893,486
Lance Thomas,PF,29,NYK,73,1353,102,267,0.382,50,124,0.403,52,143,0.364,0.476,44,53,0.83,298
Klay Thompson,SG,27,GSW,73,2506,575,1179,0.488,229,521,0.44,346,658,0.526,0.585,82,98,0.837,1461
Tristan Thompson,C,26,CLE,53,1072,132,235,0.562,0,0,,132,235,0.562,0.562,43,79,0.544,307
Sindarius Thornwell,SG,23,LAC,73,1156,100,233,0.429,23,61,0.377,77,172,0.448,0.479,59,88,0.67,282
Anthony Tolliver,PF,32,DET,79,1757,219,472,0.464,159,365,0.436,60,107,0.561,0.632,106,133,0.797,703
Karl-Anthony Towns,C,22,MIN,82,2918,639,1172,0.545,120,285,0.421,519,887,0.585,0.596,345,402,0.858,1743
P.J. Tucker,PF,32,HOU,82,2281,172,441,0.39,115,310,0.371,57,131,0.435,0.52,43,60,0.717,502
Evan Turner,SF,29,POR,79,2034,258,577,0.447,42,132,0.318,216,445,0.485,0.484,91,107,0.85,649
Myles Turner,C,21,IND,65,1836,306,639,0.479,56,157,0.357,250,482,0.519,0.523,160,206,0.777,828
Ekpe Udoh,C,30,UTA,63,810,60,120,0.5,0,1,0.0,60,119,0.504,0.5,42,56,0.75,162
Tyler Ulis,PG,22,PHO,71,1658,214,551,0.388,42,146,0.288,172,405,0.425,0.426,84,101,0.832,554
Jonas Valančiūnas,C,25,TOR,77,1727,390,687,0.568,30,74,0.405,360,613,0.587,0.59,170,211,0.806,980
Denzel Valentine,SG,24,CHI,77,2095,301,721,0.417,143,370,0.386,158,351,0.45,0.517,38,51,0.745,783
Fred VanVleet,PG,23,TOR,76,1520,232,545,0.426,108,261,0.414,124,284,0.437,0.525,84,101,0.832,656
Rashad Vaughn,SG,21,TOT,28,212,23,56,0.411,14,37,0.378,9,19,0.474,0.536,4,6,0.667,64
Noah Vonleh,PF,22,TOT,54,875,104,234,0.444,20,66,0.303,84,168,0.5,0.487,36,58,0.621,264
Nikola Vučević,C,27,ORL,57,1683,399,840,0.475,64,204,0.314,335,636,0.527,0.513,77,94,0.819,939
Dwyane Wade,SG,36,TOT,67,1536,299,682,0.438,32,111,0.288,267,571,0.468,0.462,135,189,0.714,765
Dion Waiters,SG,26,MIA,30,918,163,410,0.398,52,170,0.306,111,240,0.463,0.461,51,69,0.739,429
Kemba Walker,PG,27,CHO,80,2736,588,1363,0.431,231,601,0.384,357,762,0.469,0.516,363,420,0.864,1770
John Wall,PG,27,WAS,41,1410,280,667,0.42,62,167,0.371,218,500,0.436,0.466,175,241,0.726,797
Tyrone Wallace,PG,23,LAC,30,851,110,247,0.445,10,40,0.25,100,207,0.483,0.466,61,78,0.782,291
Derrick Walton,PG,22,MIA,16,147,8,25,0.32,7,17,0.412,1,8,0.125,0.46,6,6,1.0,29
Jameel Warney,PF,24,DAL,3,27,7,12,0.583,0,0,,7,12,0.583,0.583,3,5,0.6,17
T.J. Warren,SF,24,PHO,65,2142,529,1063,0.498,20,90,0.222,509,973,0.523,0.507,193,255,0.757,1271
Travis Wear,SF,27,LAL,17,228,25,72,0.347,17,47,0.362,8,25,0.32,0.465,8,8,1.0,75
James Webb III,SF,24,BRK,10,120,6,24,0.25,4,19,0.211,2,5,0.4,0.333,0,0,,16
Briante Weber,PG,25,TOT,18,237,19,43,0.442,4,11,0.364,15,32,0.469,0.488,8,10,0.8,50
David West,C,37,GSW,73,999,216,378,0.571,3,8,0.375,213,370,0.576,0.575,60,79,0.759,495
Russell Westbrook,PG,29,OKC,80,2914,757,1687,0.449,97,326,0.298,660,1361,0.485,0.477,417,566,0.737,2028
Andrew White,SF,24,ATL,15,209,25,73,0.342,18,49,0.367,7,24,0.292,0.466,1,4,0.25,69
Derrick White,PG,23,SAS,17,139,16,33,0.485,8,13,0.615,8,20,0.4,0.606,14,20,0.7,54
Okaro White,PF,25,MIA,6,80,7,16,0.438,4,11,0.364,3,5,0.6,0.563,2,3,0.667,20
Isaiah Whitehead,PG,22,BRK,16,180,40,86,0.465,7,18,0.389,33,68,0.485,0.506,13,19,0.684,100
Hassan Whiteside,C,28,MIA,54,1364,312,578,0.54,2,2,1.0,310,576,0.538,0.542,128,182,0.703,754
Andrew Wiggins,SF,22,MIN,82,2979,569,1300,0.438,112,338,0.331,457,962,0.475,0.481,202,314,0.643,1452
Jacob Wiley,PF,23,BRK,5,33,1,4,0.25,1,2,0.5,0,2,0.0,0.375,1,2,0.5,4
Damien Wilkins,SF,38,IND,19,152,13,39,0.333,4,18,0.222,9,21,0.429,0.385,3,4,0.75,33
Alan Williams,PF,25,PHO,5,70,7,18,0.389,0,0,,7,18,0.389,0.389,6,9,0.667,20
C.J. Williams,SG,27,LAC,38,707,87,197,0.442,22,78,0.282,65,119,0.546,0.497,13,16,0.813,209
Derrick Williams,PF,26,LAL,2,9,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,2
Lou Williams,SG,31,LAC,79,2589,582,1337,0.435,186,518,0.359,396,819,0.484,0.505,432,491,0.88,1782
Marvin Williams,PF,31,CHO,78,2006,258,563,0.458,126,305,0.413,132,258,0.512,0.57,102,123,0.829,744
Matt Williams,SG,24,MIA,3,11,2,6,0.333,1,5,0.2,1,1,1.0,0.417,0,0,,5
Troy Williams,SF,23,TOT,21,307,51,109,0.468,11,38,0.289,40,71,0.563,0.518,20,30,0.667,133
D.J. Wilson,PF,21,MIL,22,71,9,16,0.563,2,5,0.4,7,11,0.636,0.625,1,2,0.5,21
Jamil Wilson,SF,27,LAC,15,274,38,81,0.469,27,63,0.429,11,18,0.611,0.636,2,4,0.5,105
Justise Winslow,PF,21,MIA,68,1680,207,488,0.424,49,129,0.38,158,359,0.44,0.474,66,104,0.635,529
Jeff Withey,C,27,DAL,9,39,6,16,0.375,2,10,0.2,4,6,0.667,0.438,1,2,0.5,15
Nate Wolters,PG,26,UTA,5,19,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,2
Brandan Wright,PF,30,TOT,28,381,59,102,0.578,0,0,,59,102,0.578,0.578,21,33,0.636,139
Delon Wright,PG,25,TOR,69,1433,201,432,0.465,56,153,0.366,145,279,0.52,0.53,97,117,0.829,555
Guerschon Yabusele,PF,22,BOS,33,235,26,61,0.426,12,37,0.324,14,24,0.583,0.525,15,22,0.682,79
James Young,SG,22,PHI,6,61,5,14,0.357,3,10,0.3,2,4,0.5,0.464,4,6,0.667,17
Joe Young,PG,25,IND,53,558,80,186,0.43,25,66,0.379,55,120,0.458,0.497,22,29,0.759,207
Nick Young,SG,32,GSW,80,1393,201,488,0.412,123,326,0.377,78,162,0.481,0.538,56,65,0.862,581
Thaddeus Young,PF,29,IND,81,2607,421,864,0.487,58,181,0.32,363,683,0.531,0.521,55,92,0.598,955
Cody Zeller,C,25,CHO,33,627,85,156,0.545,2,3,0.667,83,153,0.542,0.551,61,85,0.718,233
Tyler Zeller,C,28,TOT,66,1109,187,334,0.56,10,28,0.357,177,306,0.578,0.575,57,79,0.722,441
Paul Zipser,SF,23,CHI,54,824,81,234,0.346,37,110,0.336,44,124,0.355,0.425,19,25,0.76,218
Ante Žižić,C,21,CLE,32,214,49,67,0.731,0,0,,49,67,0.731,0.731,21,29,0.724,119
Ivica Zubac,C,20,LAL,43,410,61,122,0.5,0,1,0.0,61,121,0.504,0.5,39,51,0.765,161
